Question,Predicted Answer,Actual Answer
Are there any wine glass in image?,Yes,Yes
Are there any broccoli in image?,No,No
Are there any cell phone in image?,No,No
What color is the liquid in the glass?,Red,Pink
What color is the woman's shirt?,White,White
Is the liquid in the glass pink?,Yes,Yes
Are the balloons gold?,Yes,Yes
Is the woman's shirt white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any airplane in image?,No,No
How many handbag in image?,0,0
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
Is the wine glass in behind of the pitcher?,No,No
Is the pitcher front the wine glass?,No,No
Is the pitcher on a table?,Yes,Yes
What color is the nail polish on the fingers?,Red,Yellow
What color is the plaid in the shirt?,Red,Black
Is the plaid on the shirt black?,Yes,Yes
Is the liquid in the glass clear?,Yes,Yes
Is the nail polish yellow?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many bicycle in image?,1,0
How many train in image?,1,0
How many tennis racket in image?,0,0
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
How many bed in image?,0,0
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
How many remote in image?,0,0
Are there any keyboard in image?,No,No
Where is the woman sitting?,Front,Left
Where is the man sitting?,Front,Right
Is the pitcher to the right of the flowers?,No,No
Is the man in the wheelchair?,Yes,Yes
Is the woman sitting down?,Yes,Yes
What is the color of the man's shirt?,White,Black
What color are the jeans the man is wearing?,Blue,Blue
What color is the tablecloth?,White,White
Does the tablecloth have any pink on it?,No,No
Does the woman have long hair?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many sink in image?,0,0
Where is the candle?,Right,Right
Where is the grapes?,Right,Behind
Where is the woman?,Front,Left
Is the candle below the glasses?,No,No
Is the lemon between the grapes and the fries?,Yes,Yes
What color is the woman's dress?,Black,Purple
What is the color of the lemon?,Yellow,Yellow
What color are the grapes?,Green,Purple
Is the woman's dress purple?,Yes,Yes
Is the lemon yellow?,Yes,Yes
Is the grape purple?,Yes,Yes
How many traffic light in image?,0,0
How many stop sign in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many spoon in image?,1,1
Are there any spoon in image?,Yes,Yes
What is the location of the grapes?,Right,Left
Is there grapes inside the glass?,Yes,Yes
What is the color of the background?,Green,Blue
What is the color of the grapes?,Green,Red
What color is the macaron?,Brown,Pink
Is the background blue?,Yes,Yes
Are the grapes red?,Yes,Yes
Is one of the macarons brown?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any bicycle in image?,Yes,No
Are there any bench in image?,No,No
Are there any sports ball in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Are there any apple in image?,No,No
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Where is the bread relative to the woman?,Front,Above
Where is the plate of food?,Left,Below
Is the plate with the food on the table?,Yes,Yes
Is the woman's hand above the bread?,No,No
What is the color of the plate?,White,Yellow
Is the plate yellow?,Yes,Yes
Is the woman's top off-white?,Yes,Yes
Is the bread light brown?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any stop sign in image?,No,No
Are there any broccoli in image?,No,No
How many sink in image?,0,1
Are there any sink in image?,No,Yes
Are there any toothbrush in image?,No,No
Where is the golden faucet?,Above,Right
Are the two people standing in the kitchen?,Yes,Yes
Is the book on the counter?,Yes,Yes
Is the kitchen sink to the left of the woman with curly hair?,No,No
What color is the shirt of the woman with curly hair?,Red,Green
What color is the wall behind the woman with blonde hair?,Red,White
What color is the countertop?,Black,White
Is the color of the shirt the woman with curly hair is wearing gray?,Yes,Yes
Is the color of the countertop white?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any airplane in image?,No,No
How many giraffe in image?,0,0
How many baseball bat in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many couch in image?,0,1
Are there any couch in image?,No,Yes
Are there any clock in image?,Yes,No
Is the person with the yellow pants to the left of the person with the blue jeans?,No,No
Is the glass in the center of the image?,Yes,Yes
What color are the pants on the left person wearing?,Blue,Pink
What color is the couch?,Brown,Green
What color is the shirt of the right person?,White,White
Is the couch green?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many sports ball in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
Where is the woman relative to the man?,Behind,Right
Is the woman to the left of the man?,No,No
Is the dress on the right checkered?,No,No
What color is the background?,Green,Black
What color are the flowers on the dress?,Pink,White
Is the background black?,Yes,Yes
Is the woman's dress black?,Yes,Yes
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
How many toothbrush in image?,0,0
Where is the bottle located relative to the bowl?,Left,Left
Where is the firewood located relative to the wine glasses?,Behind,Behind
What is the position of the bowl relative to the candle?,Left,Front
Is the fire pit in behind of the lake?,No,No
What color is the fire pit?,Black,Black
What is the color of the woods in the fire?,Green,Orange
What color are the trees in the background?,Green,Green
Is the fire pit black?,Yes,Yes
Are there flames in the fire pit?,Yes,Yes
Is the table brown?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many elephant in image?,0,0
Are there any frisbee in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Are there any refrigerator in image?,No,No
Where is the glass in relation to the blazer?,Above,Left
Where is the foliage relative to the magazine?,Below,Above
Where is the magazine relative to the jacket?,Below,Below
Is the blazer front the plant?,No,No
What color is the background?,Green,Green
What color is the blazer?,Black,White
What color is the plant?,Green,Green
Is the background color green?,Yes,Yes
Is the plant's color green?,Yes,Yes
Is the blazer's color white?,Yes,Yes
How many person in image?,1,4
Are there any person in image?,Yes,Yes
Are there any sheep in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Are there any apple in image?,No,No
How many chair in image?,1,2
Are there any chair in image?,Yes,Yes
Is the woman in the red jacket to the right of the man in the suit?,No,No
Is the man in the red shirt to the left of the woman in the black dress?,No,No
What is the color of the jacket worn by the woman on the right?,Black,White
What color are the chairs?,Brown,Red
What color is the dress worn by the middle woman?,White,Black
What color is the jacket worn by the woman on the right?,Black,Yes
What color is the dress worn by the woman in the middle?,White,Yes
What color is the shirt of the man on the left?,White,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
How many toaster in image?,0,0
Where is the chair?,Left,Behind
Is the glass on the table?,Yes,Yes
Is the window front the glass?,No,No
What color is the liquid in the glass?,Red,Green
What color is the table?,Brown,Brown
Is the chair blue?,Yes,Yes
Is the liquid in the glass green?,Yes,Yes
Is the table brown?,Yes,Yes
Are there any sheep in image?,No,No
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
What is the name of the object in the image?,person,wine glass
Are there any banana in image?,No,No
How many toaster in image?,0,0
Where is the blue glass in relation to the plate of candies?,Left,Right
Where is the glass?,Left,Right
Is the glass to the left of the plate?,No,No
Are there candies on the plate?,Yes,Yes
Is there a glass with water in the image?,Yes,Yes
What color is the glass?,Green,Blue
What color are the small candies?,Red,Yellow
What color is the plate?,White,Blue
Is the glass blue?,Yes,Yes
Is the plate blue?,Yes,Yes
Are there green candies?,No,No
Are there any skis in image?,No,No
How many baseball glove in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many orange in image?,0,2
Are there any orange in image?,No,Yes
Where are the lemons in relation to the grapes?,Above,Below
Where is the wine glass in relation to the sunflowers?,Right,Right
Is the lemon on the plate?,Yes,Yes
What color are the sunflowers?,Yellow,Yellow
What color are the grapes?,Green,Green
What color is the lime?,Green,Green
Is the color of the grapes green?,Yes,Yes
Are the flowers yellow?,Yes,Yes
Is the color of the lemon yellow?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many knife in image?,1,0
How many apple in image?,0,0
How many orange in image?,0,1
Are there any orange in image?,No,Yes
Where is the champagne bottle relative to the TV?,Left,Left
Where is the bread with caviar relative to the TV?,Above,Front
Is there a star on top of the Christmas tree?,Yes,Yes
What color is the star on the Christmas tree?,Red,Red
What color is the woman's dress?,Black,Blue
What color is the TV screen?,Black,Green
Is the star on the Christmas tree red?,Yes,Yes
Is the woman's dress blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any car in image?,Yes,No
How many traffic light in image?,0,0
Are there any cat in image?,Yes,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
Are there any toilet in image?,No,No
Where is the coca cola can relative to the bottle of wine?,Left,Right
Is the person sitting on the stool?,Yes,Yes
What color is the Coca-Cola can?,Red,Red
What color are the man's pants?,Black,Black
What color is the man's shirt?,White,White
Is the man's shirt white?,Yes,Yes
Is the Coca-Cola can red?,Yes,Yes
Are the man's pants black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many book in image?,1,0
What is the color of the suit?,Black,Black
What is the color of the pants?,Black,Brown
What color is the background?,Green,Brown
Is the suit black?,Yes,Yes
Is the pants dark?,Yes,Yes
Is the hair black?,Yes,Yes
Are there any cow in image?,No,No
Are there any kite in image?,No,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
Are there any wine glass in image?,Yes,No
Are there any cup in image?,Yes,No
How many sandwich in image?,0,1
Are there any sandwich in image?,No,Yes
How many mouse in image?,0,0
Are the grapes to the left of the bottle?,No,No
What is the color of the liquid in the bottle?,Brown,Yes
Are the grapes reddish in color?,Yes,Yes
Is the jar filled with transparent liquid?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many suitcase in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Where is the knife located relative to the glass?,Left,Behind
